orderid,shipcity,shipstate,shippostalcode,shipcountry,courier_status
405-1515003-2007535,HYDERABAD,TELANGANA,500089.0,IN,Shipped
408-8569813-9288333,SATNA,MADHYA PRADESH,485001.0,IN,Shipped
404-0867714-0772302,Padur,TAMIL NADU,603103.0,IN,Shipped
404-0867714-0772302,Padur,TAMIL NADU,603103.0,IN,Shipped
404-0867714-0772302,Padur,TAMIL NADU,603103.0,IN,Shipped
402-1704468-7240327,MADURAI,TAMIL NADU,625007.0,IN,Shipped
406-5757669-2996307,MUMBAI,MAHARASHTRA,400029.0,IN,Shipped
407-1492215-2982709,NEW DELHI,DELHI,110074.0,IN,Shipped
171-2119982-7294757,BALLIA,UTTAR PRADESH,277001.0,IN,Shipped
407-1684475-5197113,PUNE,MAHARASHTRA,411041.0,IN,Shipped
404-4568279-0273125,FARIDABAD,HARYANA,121003.0,IN,Shipped
403-9752008-2541919,KALYAN,MAHARASHTRA,421204.0,IN,Unknown
403-3896686-3972343,KALYAN,MAHARASHTRA,421204.0,IN,Shipped
408-5238024-3207538,DEVARAKONDA,TELANGANA,508248.0,IN,Shipped
403-9336057-8075519,GURUGRAM,HARYANA,122017.0,IN,Shipped
406-6070472-3313109,THRISSUR,KERALA,680003.0,IN,Shipped
407-0828621-5564309,DEHRADUN,UTTARAKHAND,248001.0,IN,Shipped
402-7281943-2634753,MUMBAI,MAHARASHTRA,400067.0,IN,Shipped
408-3364643-8111517,NEW DELHI,DELHI,110078.0,IN,Shipped
402-9327280-6831502,Bangalore,KARNATAKA,560061.0,IN,Shipped
405-8803159-2662729,BENGALURU,KARNATAKA,560057.0,IN,Shipped
405-8803159-2662729,BENGALURU,KARNATAKA,560057.0,IN,Shipped
405-8803159-2662729,BENGALURU,KARNATAKA,560057.0,IN,Shipped
405-8803159-2662729,BENGALURU,KARNATAKA,560057.0,IN,Shipped
405-3441275-4039543,BENGALURU,KARNATAKA,560057.0,IN,Shipped
405-3441275-4039543,BENGALURU,KARNATAKA,560057.0,IN,Shipped
406-2890663-9523509,BENGALURU,KARNATAKA,560032.0,IN,Shipped
402-1430516-9436331,LUCKNOW,UTTAR PRADESH,226029.0,IN,Shipped
171-7949350-6828319,DHARMAPURI,TAMIL NADU,636701.0,IN,Shipped
171-2964083-5815566,MEERUT,UTTAR PRADESH,250002.0,IN,Shipped
406-9789934-2845967,SECUNDERABAD,TELANGANA,500009.0,IN,Shipped
405-9399780-0313164,NOIDA,UTTAR PRADESH,201305.0,IN,Shipped
404-9635079-7600310,DANGUWAPASI,JHARKHAND,833212.0,IN,Shipped
171-6983189-6050757,DHEMAJI,ASSAM,786189.0,IN,Shipped
171-6983189-6050757,DHEMAJI,ASSAM,786189.0,IN,Shipped
171-3884714-3945906,PULGAON,MAHARASHTRA,442302.0,IN,Shipped
171-3884714-3945906,PULGAON,MAHARASHTRA,442302.0,IN,Shipped
171-3884714-3945906,PULGAON,MAHARASHTRA,442302.0,IN,Shipped
405-1693679-3068331,AKATHIYOOR,KERALA,680542.0,IN,Shipped
402-4804971-8591532,Shakarpur,DELHI,110092.0,IN,Shipped
402-4804971-8591532,Shakarpur,DELHI,110092.0,IN,Shipped
405-1597244-8205967,NEW DELHI,DELHI,110078.0,IN,Shipped
403-9610979-2949958,KOLKATA,WEST BENGAL,700004.0,IN,Shipped
405-1911317-3604322,Imphal east,MANIPUR,795008.0,IN,Shipped
404-7251284-9387528,LUCKNOW,UTTAR PRADESH,226010.0,IN,Shipped
403-4512253-4789948,CHEBROLU,ANDHRA PRADESH,522212.0,IN,Shipped
408-1348466-1321955,BENGALURU,KARNATAKA,560078.0,IN,Unknown
171-0490216-5028364,Alappuzha,KERALA,688006.0,IN,Shipped
406-5421335-3440327,AKBARPUR,UTTAR PRADESH,224122.0,IN,Cancelled
405-6836135-6312327,NAGPUR,MAHARASHTRA,441111.0,IN,Shipped
171-0689935-4850722,NABAGRAM COLONY,WEST BENGAL,712246.0,IN,Shipped
403-9835374-1565102,KOLKATA,WEST BENGAL,700074.0,IN,Shipped
403-8625708-2309901,KOLKATA,WEST BENGAL,700074.0,IN,Shipped
403-6616419-0658741,THANE,MAHARASHTRA,400604.0,IN,Unknown
171-5550949-7914705,KOZHIKODE,KERALA,673574.0,IN,Shipped
408-9407260-0749114,PUDUCHERRY,PUDUCHERRY,605009.0,IN,Shipped
408-4453138-1209128,NEW DELHI,DELHI,110086.0,IN,Shipped
402-4934568-7802706,NEW TOWN,WEST BENGAL,700156.0,IN,Shipped
405-9862364-7636347,NELAMANGALA,KARNATAKA,562123.0,IN,Shipped
405-7713713-9002732,NELAMANGALA,KARNATAKA,562123.0,IN,Shipped
405-7713713-9002732,NELAMANGALA,KARNATAKA,562123.0,IN,Shipped
406-8536478-4581952,"KOTPAD, Koraput",ODISHA,764058.0,IN,Shipped
407-0533151-5470709,BHUBANESWAR,ODISHA,751015.0,IN,Cancelled
404-6783850-0597940,LUCKNOW,UTTAR PRADESH,226010.0,IN,Shipped
407-3030317-4521947,BENGALURU,KARNATAKA,560064.0,IN,Shipped
402-0093786-0156303,NASHIK,MAHARASHTRA,422401.0,IN,Shipped
171-3705534-0250736,KATIHAR,BIHAR,854107.0,IN,Shipped
408-9408562-5254749,KOLKATA,WEST BENGAL,700090.0,IN,Shipped
403-4739886-5496325,ALAPPUZHA,KERALA,688002.0,IN,Shipped
171-9312177-9903551,MUMBAI,MAHARASHTRA,400097.0,IN,Shipped
171-3255381-0489121,MUMBAI,MAHARASHTRA,400097.0,IN,Shipped
408-4584840-2787538,NEW DELHI,DELHI,110008.0,IN,Unknown
408-5118229-6373917,Hyderabad,TELANGANA,500062.0,IN,Shipped
403-0707216-6170737,BAREILLY,UTTAR PRADESH,243001.0,IN,Shipped
403-3258819-8018763,NEW DELHI,DELHI,110007.0,IN,Shipped
408-2491878-4865146,KOLKATA,WEST BENGAL,700090.0,IN,Unknown
405-7190860-0329952,KOLKATA,WEST BENGAL,700039.0,IN,Shipped
402-0164950-5496362,CHENNAI,TAMIL NADU,600043.0,IN,Cancelled
404-3821323-1636305,CHENNAI,TAMIL NADU,600093.0,IN,Shipped
408-3649698-8803541,GURUGRAM,HARYANA,122001.0,IN,Shipped
405-3694403-2551528,TIRORA,MAHARASHTRA,441911.0,IN,Shipped
405-6593194-1742748,ZIRAKPUR,PUNJAB,140603.0,IN,Shipped
403-7086967-7558701,VADODARA,Gujarat,390025.0,IN,Shipped
171-5927080-9153924,Chennai,TAMIL NADU,600078.0,IN,Unshipped
406-5651070-7367520,HYDERABAD,TELANGANA,500055.0,IN,Cancelled
405-1952513-5416327,ZIRAKPUR,PUNJAB,140603.0,IN,Cancelled
406-8112035-0609144,AJMER,RAJASTHAN,305001.0,IN,Shipped
407-6114533-2816312,MADIKERI,KARNATAKA,571201.0,IN,Shipped
407-6002733-2903540,MADIKERI,KARNATAKA,571201.0,IN,Shipped
403-1068845-1092310,GHAZIABAD,UTTAR PRADESH,201012.0,IN,Shipped
407-3001310-2482707,Thrissur,KERALA,680596.0,IN,Shipped
407-3001310-2482707,Thrissur,KERALA,680596.0,IN,Shipped
402-9024954-3597923,HYDERABAD,TELANGANA,500043.0,IN,Cancelled
404-6763777-8680366,PUNE,MAHARASHTRA,411006.0,IN,Shipped
405-6167247-7769908,RANCHI,JHARKHAND,834001.0,IN,Shipped
404-3190952-7345128,Bengaluru,KARNATAKA,560091.0,IN,Shipped
407-4179560-9885921,GURUGRAM,HARYANA,122018.0,IN,Shipped
405-4515494-3244302,CHENNAI,TAMIL NADU,600040.0,IN,Shipped
404-0812833-5129124,JAMMU,JAMMU & KASHMIR,181124.0,IN,Shipped
403-9928712-6587519,Dungarpur,RAJASTHAN,314031.0,IN,Shipped
404-5314568-1043519,PANCHKULA,HARYANA,134117.0,IN,Shipped
402-8207665-7247536,HYDERABAD,TELANGANA,500001.0,IN,Shipped
403-3814019-1141952,DHOLKA,Gujarat,382225.0,IN,Shipped
403-5049239-4135545,DALTONGANJ,JHARKHAND,822102.0,IN,Shipped
405-6344744-8777959,BENGALURU,KARNATAKA,560094.0,IN,Shipped
405-0654626-6276321,BATHINDA,PUNJAB,151001.0,IN,Shipped
403-9647049-8100304,LUCKNOW,UTTAR PRADESH,226026.0,IN,Unshipped
407-3546546-1957155,HYDERABAD,TELANGANA,501505.0,IN,Shipped
404-4807357-2693108,Nagpur,MAHARASHTRA,440030.0,IN,Shipped
404-4911741-3341902,CHENNAI,TAMIL NADU,600028.0,IN,Shipped
404-1580706-8406729,CHENNAI,TAMIL NADU,600028.0,IN,Shipped
404-6525036-6681154,RANCHI,JHARKHAND,834003.0,IN,Shipped
408-6862949-2369917,PATNA,BIHAR,800024.0,IN,Shipped
403-4522038-5418732,MANGALURU,KARNATAKA,575002.0,IN,Shipped
405-9510649-7934734,"KAMATGI,Hunugund taluk,Bagalkot district",KARNATAKA,587120.0,IN,Shipped
408-2170248-9556321,GUWAHATI,ASSAM,781017.0,IN,Shipped
171-1747399-1165911,GUWAHATI,ASSAM,781015.0,IN,Shipped
408-1752203-1767518,BENGALURU,KARNATAKA,560043.0,IN,Shipped
402-6953218-8797919,RANCHI,JHARKHAND,834009.0,IN,Shipped
407-3644990-7729144,CHENNAI,TAMIL NADU,600088.0,IN,Shipped
406-9906656-5128304,KANPURKanpur,UTTAR PRADESH,208013.0,IN,Cancelled
171-8345794-3569957,BHUBANESWAR,ODISHA,751001.0,IN,Shipped
403-9545828-0603523,NEW DELHI,DELHI,110068.0,IN,Shipped
408-8140052-8753913,Bengaluru,KARNATAKA,560068.0,IN,Shipped
406-7221225-8921144,NAGPUR,MAHARASHTRA,440013.0,IN,Shipped
406-4803324-2221109,ARNI,MAHARASHTRA,445103.0,IN,Shipped
407-5470882-4765942,CHENNAI,TAMIL NADU,600088.0,IN,Unknown
403-0373263-7181928,HYDERABAD,TELANGANA,500049.0,IN,Shipped
405-3139781-4240349,MORBI,Gujarat,363641.0,IN,Shipped
404-4771108-9660348,CHENNAI,TAMIL NADU,600106.0,IN,Shipped
407-4616863-5212363,Jorhat,ASSAM,785001.0,IN,Shipped
405-5863149-6577918,Bantwal,KARNATAKA,574211.0,IN,Shipped
405-5863149-6577918,Bantwal,KARNATAKA,574211.0,IN,Shipped
406-7524766-1454768,SECUNDERABAD,TELANGANA,500009.0,IN,Shipped
408-6818789-4965132,GUWAHATI,ASSAM,781035.0,IN,Shipped
402-1038454-4297969,NOIDA,UTTAR PRADESH,201303.0,IN,Shipped
408-8100357-3585904,GANJAM,ODISHA,761209.0,IN,Shipped
402-4372312-4448367,DEWAS,MADHYA PRADESH,455001.0,IN,Unshipped
406-3745473-8633147,PUNE,MAHARASHTRA,411040.0,IN,Shipped
403-1140011-7398736,PATNA,BIHAR,800003.0,IN,Shipped
403-1140011-7398736,PATNA,BIHAR,800003.0,IN,Shipped
403-1140011-7398736,PATNA,BIHAR,800003.0,IN,Shipped
403-1140011-7398736,PATNA,BIHAR,800003.0,IN,Shipped
171-2789156-5817163,NAGAUR,RAJASTHAN,342037.0,IN,Shipped
404-9605291-9790766,KANPUR,UTTAR PRADESH,209864.0,IN,Shipped
408-9259634-7565152,NEYYATTINKARA,KERALA,695122.0,IN,Shipped
171-2120512-6643534,CHITTOOR,ANDHRA PRADESH,517001.0,IN,Shipped
408-7767023-9733103,BENGALURU,KARNATAKA,560067.0,IN,Shipped
402-6159360-3192305,COIMBATORE,TAMIL NADU,641049.0,IN,Shipped
406-4919920-0965963,MUMBAI,MAHARASHTRA,400012.0,IN,Shipped
402-5821417-6985934,SILIGURI,WEST BENGAL,734013.0,IN,Shipped
406-7489606-3781934,KUSHALANAGARA,KARNATAKA,571234.0,IN,Shipped
408-4543593-8672326,kolkata,WEST BENGAL,700008.0,IN,Shipped
404-3628070-0647500,Chennai,TAMIL NADU,603112.0,IN,Unknown
404-3628070-0647500,Chennai,TAMIL NADU,603112.0,IN,Unknown
404-0691443-7069131,Chennai,TAMIL NADU,603112.0,IN,Shipped
403-0467296-2575536,SIMLAPAL,WEST BENGAL,722151.0,IN,Shipped
408-3531277-4885962,NEYYATTINKARA,KERALA,695122.0,IN,Cancelled
408-6069754-7397924,NARKATIAGANJ,BIHAR,845455.0,IN,Shipped
408-0391714-9281921,NASHIK,MAHARASHTRA,422101.0,IN,Unknown
408-3692922-9946738,"Wagholi, PUNE",MAHARASHTRA,412207.0,IN,Shipped
171-7935921-7575568,KOHIMA,NAGALAND,797001.0,IN,Shipped
408-2026538-7845958,JALANDHAR,PUNJAB,144008.0,IN,Shipped
403-2026715-3949910,Ghaziabad,UTTAR PRADESH,201012.0,IN,Shipped
404-4599488-8213952,BENGALURU,KARNATAKA,560087.0,IN,Shipped
S02-5278980-4327051,Surat,Gujarat,394210.0,IN,Unshipped
171-5599779-6322751,PUNE,MAHARASHTRA,411040.0,IN,Unknown
171-2550230-3805124,THANE (W),MAHARASHTRA,400601.0,IN,Shipped
402-5852450-2129941,CHENNAI,TAMIL NADU,600125.0,IN,Shipped
405-3054995-4312360,MYSURU,KARNATAKA,570023.0,IN,Shipped
407-2538775-7502719,PUNE,MAHARASHTRA,411037.0,IN,Shipped
406-1981446-7471514,NEW DELHI,DELHI,110052.0,IN,Shipped
408-4235910-6012362,PORVORIM,GOA,403501.0,IN,Shipped
171-9839922-3832357,PUNE,MAHARASHTRA,411040.0,IN,Shipped
405-9808686-6294763,AHMEDABAD,Gujarat,380015.0,IN,Shipped
408-8489677-5577933,NOIDA,UTTAR PRADESH,201304.0,IN,Shipped
402-5550488-9916304,Hyderabad,TELANGANA,500016.0,IN,Unknown
408-6369127-2887567,Vasai,MAHARASHTRA,401201.0,IN,Shipped
171-0113406-2293163,GHAZIABAD,UTTAR PRADESH,201014.0,IN,Unshipped
403-8565647-0953102,GUWAHATI,ASSAM,781011.0,IN,Shipped
406-9957971-2569147,SANGLI,MAHARASHTRA,416416.0,IN,Shipped
406-1092108-2639512,VADODARA,Gujarat,390010.0,IN,Shipped
402-3270101-7657904,COIMBATORE,TAMIL NADU,641006.0,IN,Unknown
402-7078622-5609155,KOTTAYAM,KERALA,686020.0,IN,Shipped
171-7678731-3568339,BENGALURU,KARNATAKA,560100.0,IN,Cancelled
408-7206307-2384358,DHARMADOM,KERALA,670661.0,IN,Shipped
407-5830946-0458753,MUMBAI,MAHARASHTRA,400037.0,IN,Shipped
171-3016563-0593956,NEW DELHI,DELHI,110045.0,IN,Shipped
404-3252605-4011545,VASAI VIRAR,MAHARASHTRA,401208.0,IN,Cancelled
171-1148440-5117161,PUNE,MAHARASHTRA,411028.0,IN,Unshipped
171-7636697-5689908,GWALIOR,MADHYA PRADESH,474001.0,IN,Shipped
408-1336273-5938748,LUDHIANA,PUNJAB,141008.0,IN,Shipped
406-3815399-6450709,NATHDWARA,RAJASTHAN,313301.0,IN,Shipped
171-9638653-2292340,Varanasi,UTTAR PRADESH,221002.0,IN,Shipped
403-7879236-4794741,GUWAHATI,ASSAM,781011.0,IN,Cancelled
406-4110471-9710751,ULLAL,KARNATAKA,575018.0,IN,Shipped
408-5598612-8613920,LUDHIANA,PUNJAB,141008.0,IN,Cancelled
404-3475672-0623516,Haldwani,UTTARAKHAND,263139.0,IN,Cancelled
403-0708193-0609948,NANDED WAGHALA,MAHARASHTRA,431606.0,IN,Shipped
402-6638943-7023558,NEW DELHI,DELHI,110074.0,IN,Shipped
405-1047044-2461167,BENGALURU,KARNATAKA,560024.0,IN,Shipped
403-4121872-9661935,NEW DELHI,DELHI,110092.0,IN,Shipped
407-0341499-2477170,Sangareddy District,TELANGANA,502345.0,IN,Shipped
402-7081372-1053905,NAGPUR,MAHARASHTRA,440007.0,IN,Shipped
402-7081372-1053905,NAGPUR,MAHARASHTRA,440007.0,IN,Shipped
403-8349155-2308363,HYDERABAD,TELANGANA,500079.0,IN,Shipped
403-8349155-2308363,HYDERABAD,TELANGANA,500079.0,IN,Shipped
403-3794902-2627533,HYDERABAD,TELANGANA,500079.0,IN,Shipped
403-8342497-0727510,HYDERABAD,TELANGANA,500075.0,IN,Shipped
403-5686295-0611519,HYDERABAD,TELANGANA,500075.0,IN,Shipped
404-9773937-7060345,Madurai,TAMIL NADU,625010.0,IN,Shipped
407-3205298-5473103,COIMBATORE,TAMIL NADU,641045.0,IN,Shipped
403-3741687-4048344,thane,MAHARASHTRA,400606.0,IN,Shipped
406-4889947-7806746,Hyderabad,TELANGANA,500068.0,IN,Shipped
408-2548158-8811519,BELAGAVI,KARNATAKA,590006.0,IN,Shipped
402-4612397-6796307,GURUGRAM,HARYANA,122017.0,IN,Shipped
402-2375582-5673132,GURUGRAM,HARYANA,122017.0,IN,Shipped
402-7355260-1275513,HYDERABAD,TELANGANA,500081.0,IN,Shipped
171-6613108-2363511,CHENNAI,TAMIL NADU,600091.0,IN,Shipped
406-5961574-4441901,HYDERABAD,TELANGANA,502319.0,IN,Shipped
404-9326488-7546742,PATNA,BIHAR,800008.0,IN,Shipped
403-1691463-7067522,MUMBAI,MAHARASHTRA,400076.0,IN,Shipped
171-1293566-4097166,Kanniyakumari,TAMIL NADU,629177.0,IN,Shipped
404-6513417-3841113,HYDERABAD,TELANGANA,500033.0,IN,Shipped
408-7484954-7860326,hyderabad,TELANGANA,500012.0,IN,Shipped
408-0027611-3047556,hyderabad,TELANGANA,500012.0,IN,Shipped
408-0027611-3047556,hyderabad,TELANGANA,500012.0,IN,Shipped
408-0027611-3047556,hyderabad,TELANGANA,500012.0,IN,Shipped
171-6240280-6484349,MUMBAI,MAHARASHTRA,400063.0,IN,Shipped
408-8511386-1974718,LUCKNOW,UTTAR PRADESH,226012.0,IN,Shipped
407-6157661-5199512,KOLKATA,WEST BENGAL,700019.0,IN,Unknown
403-0017800-9042751,KOLKATA,WEST BENGAL,700151.0,IN,Shipped
403-0085734-1665956,NEW DELHI,DELHI,110059.0,IN,Shipped
171-7399869-6383547,ISNAPUR,TELANGANA,502307.0,IN,Shipped
402-9657774-4318743,BILASPUR,CHHATTISGARH,495001.0,IN,Shipped
406-4946851-5210766,Pune,MAHARASHTRA,411001.0,IN,Shipped
406-3669070-7817938,PUDUCHERRY,PUDUCHERRY,605110.0,IN,Shipped
408-8026223-3504338,GANJAM,ODISHA,761209.0,IN,Cancelled
405-7258660-0843511,DEHRADUN,UTTARAKHAND,248001.0,IN,Cancelled
402-4205432-7587534,HYDERABAD,TELANGANA,500072.0,IN,Shipped
406-8172747-6386706,Pune,MAHARASHTRA,411001.0,IN,Cancelled
408-3583941-7990727,BASUDEBPUR,ODISHA,756125.0,IN,Shipped
406-3330230-6797916,GHAZIABAD,UTTAR PRADESH,201010.0,IN,Shipped
403-9175128-5028341,PUTTAPARTHI,ANDHRA PRADESH,515134.0,IN,Cancelled
403-7622558-2750701,BENGALURU,KARNATAKA,560002.0,IN,Shipped
171-4759774-9917114,THANE,MAHARASHTRA,400607.0,IN,Unshipped
171-2730956-8469920,THANE,MAHARASHTRA,400607.0,IN,Unshipped
405-7330238-7284346,NEW DELHI,DELHI,110085.0,IN,Unshipped
171-6337844-1873114,BISWAN,UTTAR PRADESH,261201.0,IN,Shipped
407-4387699-2165163,MUMBAI,MAHARASHTRA,400072.0,IN,Shipped
407-8428976-5530717,MUMBAI,MAHARASHTRA,400080.0,IN,Shipped
404-9035115-5697167,GUWAHATI,ASSAM,781007.0,IN,Shipped
406-6302630-1482741,MUMBAI,MAHARASHTRA,400080.0,IN,Shipped
408-5107980-7490767,CHENNAI,TAMIL NADU,600012.0,IN,Cancelled
408-5107980-7490767,CHENNAI,TAMIL NADU,600012.0,IN,Cancelled
408-2191353-0621121,VILLUPURAM,TAMIL NADU,605602.0,IN,Shipped
404-6334918-0634714,KAMPUR TOWN,ASSAM,782426.0,IN,Shipped
403-1239945-5591548,BARASAT,WEST BENGAL,700129.0,IN,Shipped
404-7406168-9217147,HYDERABAD,TELANGANA,500033.0,IN,Shipped
408-1013219-3362738,GURUGRAM,HARYANA,122002.0,IN,Shipped
403-0802182-1109101,MUMBAI,MAHARASHTRA,400088.0,IN,Shipped
403-0309122-5817917,MUMBAI,MAHARASHTRA,400088.0,IN,Shipped
407-6980443-5231567,CHENNAI,TAMIL NADU,600088.0,IN,Unknown
406-0859473-5957957,Lakkavaram,ANDHRA PRADESH,534451.0,IN,Shipped
408-6539097-5347560,NEW DELHI,DELHI,110003.0,IN,Shipped
403-7868813-3526702,Hazaribagh,JHARKHAND,825302.0,IN,Shipped
405-6224180-2791517,ALLAHABAD,UTTAR PRADESH,211016.0,IN,Shipped
408-8411055-6172361,COIMBATORE,TAMIL NADU,641049.0,IN,Shipped
171-2558577-3963545,MEERUT CANTT,UTTAR PRADESH,250001.0,IN,Shipped
403-2828148-2903504,ALIGARH,UTTAR PRADESH,202001.0,IN,Shipped
171-0790810-5096364,Mumbai,MAHARASHTRA,400053.0,IN,Shipped
403-7692763-8092362,BADLAPUR,MAHARASHTRA,421503.0,IN,Shipped
403-7692763-8092362,BADLAPUR,MAHARASHTRA,421503.0,IN,Shipped
407-8093398-2897154,MYSORE,KARNATAKA,570010.0,IN,Unshipped
403-5843515-0197907,PUNE,MAHARASHTRA,411023.0,IN,Shipped
403-3917761-8428347,PUNE,MAHARASHTRA,411023.0,IN,Shipped
404-8373900-3799552,HYDERABAD,TELANGANA,500033.0,IN,Shipped
406-7566655-2824321,MATHURA,UTTAR PRADESH,281004.0,IN,Shipped
407-6378370-0617931,Naigoan,MAHARASHTRA,401208.0,IN,Cancelled
407-3146769-0090716,BHILAI,CHHATTISGARH,490020.0,IN,Unknown
407-1409766-1003533,JIND,HARYANA,126102.0,IN,Shipped
408-8792901-2145126,HYDERABAD,TELANGANA,500034.0,IN,Shipped
402-6724550-6978711,VILLUPURAM,TAMIL NADU,605602.0,IN,Shipped
406-6822577-5633910,SOLAPUR,MAHARASHTRA,413001.0,IN,Shipped
405-1930468-0215514,CHENNAI,TAMIL NADU,600077.0,IN,Shipped
S02-9107114-0460608,Surat,Gujarat,394210.0,IN,Unshipped
408-1125697-9869900,Mumbai,MAHARASHTRA,400015.0,IN,Shipped
408-9453216-9501922,BENGALURU,KARNATAKA,560050.0,IN,Shipped
408-9453216-9501922,BENGALURU,KARNATAKA,560050.0,IN,Shipped
402-3700824-1893101,SANAND,Gujarat,382110.0,IN,Shipped
406-5601546-3935561,HYDERABAD,TELANGANA,500100.0,IN,Shipped
404-5899052-5877155,HYDERABAD,TELANGANA,500083.0,IN,Shipped
407-3704301-2298756,Naigoan,MAHARASHTRA,401208.0,IN,Unshipped
408-9593414-3493949,AHMEDABAD,Gujarat,380058.0,IN,Shipped
408-3784452-5056335,AHMEDABAD,Gujarat,380058.0,IN,Shipped
403-2094006-3473949,BENGALURU,KARNATAKA,560084.0,IN,Shipped
405-2038061-9168365,INDORE,MADHYA PRADESH,452010.0,IN,Shipped
407-6225862-7010732,HOSKOTE,KARNATAKA,562114.0,IN,Unknown
406-9894846-2977124,SURAT,Gujarat,395009.0,IN,Shipped
408-0466342-6160313,VADODARA,Gujarat,390021.0,IN,Shipped
171-1411931-8695529,PIMPRI CHINCHWAD,MAHARASHTRA,411033.0,IN,Shipped
405-4665747-1707505,NEW DELHI,DELHI,110074.0,IN,Shipped
405-2598876-9829123,CHENNAI,TAMIL NADU,600083.0,IN,Shipped
404-4145876-7343530,PIMPRI CHINCHWAD,MAHARASHTRA,412101.0,IN,Shipped
171-4531834-4554765,VADODARA,Gujarat,390006.0,IN,Shipped
171-4076404-9258764,Motihari,BIHAR,845401.0,IN,Shipped
406-5539492-5425929,MEERUT,UTTAR PRADESH,250004.0,IN,Shipped
405-0735157-8832353,NOIDA,UTTAR PRADESH,201309.0,IN,Shipped
403-0004439-8848355,davangere,KARNATAKA,577004.0,IN,Shipped
405-2465068-7043535,HYDERABAD,TELANGANA,500020.0,IN,Shipped
402-7869356-9551565,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped
404-0616942-0533962,MEERUT,UTTAR PRADESH,250001.0,IN,Shipped
402-9103592-1399503,KOCHI,KERALA,682030.0,IN,Shipped
403-1066225-1659554,Jetpur,Gujarat,360370.0,IN,Shipped
402-4405416-1949113,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped
402-4405416-1949113,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped
402-4405416-1949113,MUMBAI,MAHARASHTRA,400016.0,IN,Shipped
402-5426483-2097950,BANGALORE,KARNATAKA,560035.0,IN,Shipped
405-0519372-7148367,RAIGANJ,WEST BENGAL,733130.0,IN,Shipped
405-2482384-0445932,NAVI MUMBAI,MAHARASHTRA,410206.0,IN,Shipped
407-7345653-0308320,Noida extension,UTTAR PRADESH,201305.0,IN,Shipped
407-7918584-3321167,COIMBATORE,TAMIL NADU,641027.0,IN,Shipped
404-9833102-2103502,DOHAD,Gujarat,389151.0,IN,Shipped
402-3639038-3679551,KARNAL,HARYANA,132001.0,IN,Shipped
402-6585827-1554713,CHENNAI,TAMIL NADU,600091.0,IN,Shipped
404-4853871-5371532,JAMSHEDPUR,JHARKHAND,831005.0,IN,Unshipped
406-0956140-0012349,NAGPUR,MAHARASHTRA,440024.0,IN,Shipped
402-8104859-6526742,NOIDA,UTTAR PRADESH,201309.0,IN,Shipped
171-1492122-0351528,JAIPUR,RAJASTHAN,302018.0,IN,Shipped
404-4220653-2914737,CHITTOOR,ANDHRA PRADESH,517002.0,IN,Shipped
406-5417811-8741110,PUNE,MAHARASHTRA,411014.0,IN,Shipped
406-8324856-3472311,BENGALURU,KARNATAKA,560094.0,IN,Shipped
408-3011835-7100318,PATNA,BIHAR,800013.0,IN,Shipped
405-7844536-8046762,KOLKATA,WEST BENGAL,700010.0,IN,Shipped
171-2411011-0125905,THANE (W),MAHARASHTRA,400601.0,IN,Unknown
403-1687892-8212308,Lonavala,MAHARASHTRA,410405.0,IN,Unshipped
406-0691895-0471503,DEORIA,UTTAR PRADESH,274001.0,IN,Shipped
405-7666513-9844302,CHENNAI,TAMIL NADU,600083.0,IN,Shipped
405-1355264-6557110,MUMBAI,MAHARASHTRA,400017.0,IN,Shipped
403-5297256-4435541,THIRUVANANTHAPURAM,KERALA,695004.0,IN,Shipped
407-9665025-0698751,BHIWADI,RAJASTHAN,301019.0,IN,Cancelled
403-4570436-2713939,Dombivli west,MAHARASHTRA,421202.0,IN,Shipped
405-9841349-5869939,YERRAGUNTLA,ANDHRA PRADESH,516309.0,IN,Shipped
408-7721306-8516366,FARIDABAD,HARYANA,121010.0,IN,Shipped
405-2646018-2081155,NEW DELHI,DELHI,110054.0,IN,Shipped
405-2936022-2354729,MUMBAI,MAHARASHTRA,400017.0,IN,Cancelled
171-1718013-5317150,Mumbai,MAHARASHTRA,400068.0,IN,Shipped
408-9045350-1482703,Mandi,HIMACHAL PRADESH,175008.0,IN,Shipped
408-9204821-0825919,AHMEDABAD,Gujarat,380022.0,IN,Cancelled
408-3998053-4361911,JODHPUR,RAJASTHAN,342001.0,IN,Shipped
408-0034595-6967577,SRIPERUMBUDUR,TAMIL NADU,602105.0,IN,Shipped
402-0365208-0109142,BENGALURU,KARNATAKA,560068.0,IN,Shipped
405-0228947-1652364,LUCKNOW,UTTAR PRADESH,226016.0,IN,Shipped
402-4323266-5031518,PUNE,MAHARASHTRA,411028.0,IN,Shipped
402-1358132-6281146,PUNE,MAHARASHTRA,411028.0,IN,Unshipped
408-1003182-7897956,Hyderabad,TELANGANA,500034.0,IN,Shipped
171-7374731-4292323,BENGALURU,KARNATAKA,560100.0,IN,Shipped
406-9599371-7072353,NASHIK,MAHARASHTRA,422009.0,IN,Shipped
408-6297808-3491569,BENGALURU,KARNATAKA,560028.0,IN,Shipped
407-3533608-1886715,MUMBAI,MAHARASHTRA,400089.0,IN,Shipped
