orderid,fulfillment,shipservicelevel
403-1177905-6744330,Amazon,Expedited
171-2455701-0960350,Merchant,Standard
406-7604735-7129135,Amazon,Expedited
405-0190551-1582739,Merchant,Standard
406-0260556-1768361,Amazon,Expedited
171-8602675-3441906,Amazon,Expedited
407-9815105-0249903,Amazon,Expedited
406-3314085-6102757,Amazon,Expedited
407-0041312-7583565,Amazon,Expedited
406-5212808-4982747,Amazon,Expedited
404-6182045-6773137,Merchant,Standard
404-4842089-9100365,Amazon,Expedited
403-9762872-1529112,Amazon,Expedited
407-9199038-5476330,Amazon,Expedited
402-9985740-6994711,Amazon,Expedited
171-2032233-0305133,Amazon,Expedited
406-9684593-1409145,Merchant,Standard
403-5898805-1425935,Merchant,Standard
403-5103230-8961927,Amazon,Expedited
407-5818545-8129135,Merchant,Standard
171-6251170-5071549,Merchant,Standard
404-9371281-1603507,Amazon,Expedited
405-0890112-1339513,Merchant,Standard
406-9300151-3458725,Amazon,Expedited
406-6779001-4088358,Amazon,Expedited
406-7355996-4809118,Merchant,Standard
406-2947501-1309952,Amazon,Expedited
408-7235380-6991554,Merchant,Standard
408-7235380-6991554,Merchant,Standard
408-7235380-6991554,Merchant,Standard
408-3526661-0965957,Amazon,Expedited
171-7796625-7797904,Merchant,Standard
407-2558196-2748319,Amazon,Expedited
406-6182057-8958767,Merchant,Standard
406-1017854-8859535,Amazon,Expedited
408-5558170-0080344,Merchant,Standard
408-6539891-7501929,Amazon,Expedited
403-7315245-3669152,Amazon,Expedited
408-2874655-3175563,Amazon,Expedited
404-4306865-0981913,Amazon,Expedited
403-4542311-7044317,Amazon,Expedited
171-0158245-0603546,Amazon,Expedited
403-2800448-9777102,Amazon,Expedited
406-9770854-6341932,Merchant,Standard
405-4902484-1345110,Amazon,Expedited
408-6341256-3049926,Amazon,Expedited
404-3238914-2028337,Amazon,Expedited
403-6389579-5134733,Merchant,Standard
403-4194116-1065901,Amazon,Expedited
407-4541519-9436312,Amazon,Expedited
407-6760175-6669900,Amazon,Expedited
407-6495811-4753108,Merchant,Standard
402-2193143-0845955,Amazon,Expedited
402-9851200-0350750,Amazon,Expedited
402-5803194-1716337,Amazon,Expedited
403-8704823-5525134,Amazon,Expedited
404-5595821-0990765,Amazon,Expedited
405-3993118-8151554,Merchant,Standard
406-3346143-7743523,Amazon,Expedited
171-4028625-9042722,Merchant,Standard
171-2863176-0009922,Amazon,Expedited
171-2863176-0009922,Amazon,Expedited
403-7636061-4537944,Amazon,Expedited
407-8545004-0009147,Amazon,Expedited
407-1311979-3264324,Amazon,Expedited
402-4340811-5375517,Amazon,Expedited
405-6955975-9279523,Merchant,Standard
405-7767733-4883539,Amazon,Expedited
171-9012028-5817164,Amazon,Expedited
406-5758486-5375549,Merchant,Standard
406-4278703-0100325,Amazon,Expedited
406-6329810-4783512,Amazon,Expedited
405-1000228-4666743,Amazon,Expedited
404-3737574-8133963,Amazon,Expedited
407-9868288-0295567,Amazon,Expedited
171-7690303-7157924,Amazon,Expedited
408-9583112-6153101,Amazon,Expedited
408-4896428-3016310,Amazon,Expedited
408-9162865-2217162,Amazon,Expedited
404-7280745-6277120,Amazon,Expedited
403-6699640-7919568,Amazon,Expedited
403-0138700-0733935,Amazon,Expedited
407-3402984-0581936,Amazon,Expedited
403-0547905-9053123,Amazon,Expedited
406-5651256-4804346,Merchant,Standard
402-7300171-9417149,Amazon,Expedited
402-4075296-7169152,Amazon,Expedited
403-5348116-8269147,Amazon,Expedited
405-4709716-6469134,Amazon,Expedited
405-2114640-3594728,Amazon,Expedited
404-7764990-8097141,Amazon,Expedited
407-1804307-9801915,Amazon,Expedited
407-1804307-9801915,Amazon,Expedited
402-3401176-7354747,Amazon,Expedited
406-9402998-2954731,Amazon,Expedited
403-1222042-8013921,Amazon,Expedited
403-6784069-3189967,Amazon,Expedited
405-4403409-7375553,Amazon,Expedited
406-4826302-0651534,Amazon,Expedited
405-9188153-2229950,Amazon,Expedited
403-4036039-6253116,Amazon,Expedited
403-1044773-8927556,Amazon,Expedited
404-9128841-2663546,Amazon,Expedited
405-6220605-3735564,Merchant,Standard
405-2812521-7830708,Amazon,Expedited
405-0872631-6885912,Amazon,Expedited
405-5857636-6725930,Amazon,Expedited
403-2464746-2140361,Merchant,Standard
404-8275879-8967507,Merchant,Standard
405-3603310-7293153,Amazon,Expedited
408-2507164-5337918,Merchant,Standard
407-4481525-0793109,Amazon,Expedited
407-7566435-1837162,Amazon,Expedited
407-9290394-4403500,Amazon,Expedited
403-4714019-2209928,Amazon,Expedited
405-6458874-9383538,Merchant,Standard
405-6458874-9383538,Merchant,Standard
171-0998566-1481905,Amazon,Expedited
402-9507468-0522762,Amazon,Expedited
408-4091370-4293113,Merchant,Standard
403-7625556-5684369,Amazon,Expedited
406-3397253-1156318,Merchant,Standard
404-6961589-0653957,Amazon,Expedited
404-3964962-8452335,Amazon,Expedited
408-8283561-9582706,Merchant,Standard
408-5062774-0602746,Amazon,Expedited
405-5427791-9905965,Amazon,Expedited
406-5628650-5866760,Amazon,Expedited
408-5740418-3927504,Merchant,Standard
407-8988506-2665963,Amazon,Expedited
171-6176410-6487513,Merchant,Standard
408-8079090-8044333,Amazon,Expedited
408-3586969-6558706,Amazon,Expedited
171-4519721-7419566,Merchant,Standard
402-6409401-9687537,Amazon,Expedited
405-6729502-9303510,Amazon,Expedited
171-4919127-5482722,Amazon,Expedited
405-8958398-6482715,Amazon,Expedited
402-9672397-0079540,Amazon,Expedited
402-3628346-9318700,Amazon,Expedited
406-0518095-2232345,Amazon,Expedited
402-6820061-7545105,Amazon,Expedited
407-9194491-8463513,Amazon,Expedited
405-2987531-6134720,Amazon,Expedited
403-0850388-6142751,Amazon,Expedited
402-7136610-9697151,Amazon,Expedited
405-3956202-4339562,Amazon,Expedited
404-9229707-7774702,Merchant,Standard
403-1541384-9341954,Amazon,Expedited
402-0120806-3840302,Amazon,Expedited
407-3147250-8940369,Amazon,Expedited
407-3147250-8940369,Amazon,Expedited
408-8440354-5115563,Merchant,Standard
404-6352464-1438740,Merchant,Standard
408-3842772-5524356,Amazon,Expedited
171-9048559-2135514,Amazon,Expedited
405-4757363-5120328,Amazon,Expedited
404-5117026-5321945,Merchant,Standard
402-0245449-5969170,Amazon,Expedited
406-1311280-7965926,Amazon,Expedited
403-7874530-3249149,Amazon,Expedited
402-9962768-1351548,Amazon,Expedited
406-1999740-8230727,Amazon,Expedited
405-7370204-9776334,Amazon,Expedited
405-7790745-1369118,Amazon,Expedited
405-7790745-1369118,Amazon,Expedited
408-5709501-1529125,Amazon,Expedited
405-7299573-7231506,Amazon,Expedited
403-5774036-2852304,Amazon,Expedited
404-9031061-5027543,Amazon,Expedited
402-1388437-8475549,Amazon,Expedited
407-7446141-1880338,Amazon,Expedited
408-6785504-0796348,Amazon,Expedited
403-7228709-0222712,Amazon,Expedited
404-3526690-9890731,Amazon,Expedited
402-8410486-2041919,Amazon,Expedited
402-0162039-3313119,Amazon,Expedited
402-5912939-0922768,Amazon,Expedited
407-7191081-6605109,Merchant,Standard
405-6323401-8800310,Amazon,Expedited
171-0555476-0721148,Amazon,Expedited
408-2557904-6025939,Amazon,Expedited
406-2189501-9092346,Merchant,Standard
403-6411802-4794740,Amazon,Expedited
404-9580105-7424301,Amazon,Expedited
405-5178497-1050744,Amazon,Expedited
408-6482890-9764330,Amazon,Expedited
407-1335057-7965130,Amazon,Expedited
406-2781097-3823508,Amazon,Expedited
404-6916163-7013154,Amazon,Expedited
402-8132023-1842733,Merchant,Standard
405-6753440-6181923,Amazon,Expedited
405-0598775-3586762,Merchant,Standard
408-9006941-6047526,Amazon,Expedited
171-2306122-3329121,Amazon,Expedited
404-0279072-0109104,Amazon,Expedited
402-8121209-0495550,Merchant,Standard
408-8417428-3089129,Amazon,Expedited
171-4406703-3156313,Merchant,Standard
407-0766063-4556330,Amazon,Expedited
171-2002315-6616312,Merchant,Standard
403-3588045-5336317,Amazon,Expedited
405-7352746-3463538,Amazon,Expedited
408-4134499-1354740,Amazon,Expedited
408-4134499-1354740,Amazon,Expedited
408-5438962-6973104,Amazon,Expedited
403-2943527-9844327,Amazon,Expedited
405-7165029-6882709,Amazon,Expedited
407-7701270-2757116,Merchant,Standard
404-6150771-3089143,Amazon,Expedited
406-2063526-4681166,Merchant,Standard
408-1211125-1587522,Amazon,Expedited
407-1280746-9995549,Amazon,Expedited
402-5600672-9096358,Amazon,Expedited
402-2994221-1495542,Amazon,Expedited
403-7224450-4672340,Amazon,Expedited
171-3723297-8533156,Amazon,Expedited
402-8855214-7037161,Amazon,Expedited
171-8413255-5212302,Amazon,Expedited
404-1401189-7552363,Amazon,Expedited
408-1801721-0061100,Amazon,Expedited
403-7515075-4352354,Amazon,Expedited
171-0691829-0413967,Amazon,Expedited
406-9367112-1579562,Amazon,Expedited
402-4318384-1219507,Amazon,Expedited
406-6810611-2165928,Amazon,Expedited
408-0963298-6339516,Amazon,Expedited
403-1171676-5803524,Amazon,Expedited
406-3440292-2916354,Merchant,Standard
406-4943813-6257104,Amazon,Expedited
405-4426956-2638704,Amazon,Expedited
405-4426956-2638704,Amazon,Expedited
405-0904589-0449938,Merchant,Standard
403-2710130-4606705,Amazon,Expedited
408-6208151-5607534,Amazon,Expedited
408-9451450-4342710,Amazon,Expedited
402-8730642-8549128,Amazon,Expedited
404-2543507-2754701,Amazon,Expedited
404-0491884-0382749,Merchant,Standard
171-2039494-4641119,Amazon,Expedited
403-8924591-8659559,Amazon,Expedited
404-8989868-5325929,Amazon,Expedited
404-8989868-5325929,Amazon,Expedited
408-4858328-8941104,Amazon,Expedited
407-8910545-4029964,Amazon,Expedited
404-9817487-8322703,Amazon,Expedited
171-7758250-6622740,Amazon,Expedited
402-2191949-0899524,Amazon,Expedited
171-1711118-6138764,Amazon,Expedited
404-9231673-5888367,Amazon,Expedited
407-9040108-6689964,Merchant,Standard
408-7843376-7307514,Merchant,Standard
402-6880220-5223545,Amazon,Expedited
403-9422897-6435506,Amazon,Expedited
407-1233874-0563510,Merchant,Standard
405-6168082-3380362,Amazon,Expedited
407-3747599-6128305,Amazon,Expedited
402-5201553-6325907,Amazon,Expedited
408-9008620-6061118,Merchant,Standard
171-7890160-8852316,Merchant,Standard
171-6289011-1937908,Amazon,Expedited
171-6289011-1937908,Amazon,Expedited
171-1910092-3713144,Merchant,Standard
171-1910092-3713144,Merchant,Standard
407-8103303-9578732,Amazon,Expedited
404-3034187-1901108,Amazon,Expedited
404-3034187-1901108,Amazon,Expedited
404-3034187-1901108,Amazon,Expedited
406-6469499-6291525,Amazon,Expedited
406-7469828-9698734,Amazon,Expedited
408-8021858-7145918,Amazon,Expedited
404-1878228-2086766,Amazon,Expedited
407-0693936-4927507,Merchant,Standard
406-4796841-5342705,Merchant,Standard
404-7100189-6173140,Amazon,Expedited
404-2039483-5926748,Amazon,Expedited
408-9273940-2609910,Amazon,Expedited
171-2687114-9951522,Amazon,Expedited
408-5511269-0005127,Amazon,Expedited
171-7971829-2579506,Amazon,Expedited
402-1445058-5329108,Amazon,Expedited
171-6254071-4842708,Amazon,Expedited
405-4998920-1907527,Amazon,Expedited
405-8095930-4607525,Amazon,Expedited
408-9626669-3677108,Amazon,Expedited
402-7175455-3071529,Amazon,Expedited
402-4307563-5344365,Amazon,Expedited
404-6639541-3079523,Merchant,Standard
404-8066204-0050714,Amazon,Expedited
404-8066204-0050714,Amazon,Expedited
403-3580507-3769138,Merchant,Standard
403-2394041-2238759,Amazon,Expedited
171-6587457-1721158,Merchant,Standard
403-3518985-7306764,Merchant,Standard
408-0816949-6325917,Amazon,Standard
407-9503688-3348349,Amazon,Expedited
402-5934848-4963539,Amazon,Expedited
404-3392472-8443503,Amazon,Expedited
408-5834570-5564310,Amazon,Expedited
405-8897181-5519553,Amazon,Expedited
405-2055215-2082755,Amazon,Expedited
402-3570318-5723525,Amazon,Expedited
402-0156022-5785928,Amazon,Expedited
405-5888545-1453956,Amazon,Expedited
171-5717062-0793940,Amazon,Expedited
171-3901263-9461117,Amazon,Expedited
404-1990687-3297139,Amazon,Expedited
408-9120240-9572348,Amazon,Expedited
406-8722175-1999503,Amazon,Expedited
402-1689265-3757967,Amazon,Expedited
403-4842065-7357115,Amazon,Expedited
408-4559676-3585900,Amazon,Expedited
407-4937872-6083528,Merchant,Standard
403-6017656-0910755,Amazon,Expedited
405-0532803-0120331,Merchant,Standard
405-0567281-0077956,Amazon,Expedited
405-9954704-7596311,Amazon,Expedited
407-7452730-8781957,Amazon,Expedited
405-4802278-1130767,Amazon,Expedited
405-6118267-4453135,Merchant,Standard
408-7024102-0680315,Amazon,Expedited
404-2594413-5562732,Merchant,Standard
403-5152956-3093925,Amazon,Expedited
403-6221024-0434733,Amazon,Expedited
408-2713115-5349131,Amazon,Expedited
171-9911641-7447562,Amazon,Expedited
407-1541788-2812307,Merchant,Standard
403-6164583-5066707,Amazon,Expedited
406-1211802-4985944,Amazon,Expedited
407-4787404-6815549,Merchant,Standard
404-8567504-6541947,Merchant,Standard
404-8567504-6541947,Merchant,Standard
407-5638839-1021145,Amazon,Expedited
404-4125202-5645168,Amazon,Expedited
408-2830412-5001168,Merchant,Standard
403-8416578-4487558,Amazon,Expedited
406-5635989-6652368,Amazon,Expedited
402-3387821-0046769,Amazon,Expedited
405-3971331-2840320,Amazon,Expedited
404-5051575-0289923,Amazon,Expedited
402-3702495-9713129,Amazon,Expedited
402-4292542-1090729,Merchant,Standard
408-3964470-4217159,Amazon,Expedited
403-1159654-5341924,Amazon,Expedited
405-2708413-4759526,Amazon,Expedited
402-5860958-8931531,Amazon,Expedited
405-8616777-5671537,Amazon,Expedited
402-2254745-0421162,Amazon,Expedited
402-6209959-5061136,Amazon,Expedited
403-0748084-7987510,Amazon,Expedited
408-0142626-6733164,Merchant,Standard
403-9402389-2621148,Amazon,Expedited
405-9549408-2875529,Amazon,Expedited
405-5247664-8593939,Amazon,Expedited
404-4383051-7529151,Amazon,Expedited
408-1055824-5425935,Amazon,Expedited
402-2835706-4302716,Amazon,Expedited
171-4968450-1156340,Merchant,Standard
404-6722828-1093962,Amazon,Expedited
404-6368394-8034730,Amazon,Expedited
404-4377438-0359543,Amazon,Expedited
404-3249874-5165935,Amazon,Expedited
402-5691813-3767501,Amazon,Expedited
407-5281481-1936349,Amazon,Expedited
407-9019371-6608351,Amazon,Expedited
402-6844063-3025935,Amazon,Expedited
402-2178448-3483529,Merchant,Standard
171-5881562-0902725,Amazon,Expedited
404-2076743-4967514,Amazon,Expedited
408-5438679-8754703,Amazon,Expedited
402-2062086-5526703,Amazon,Expedited
403-8588722-5212320,Amazon,Expedited
408-0315006-1463525,Merchant,Standard
403-3505736-2971568,Amazon,Expedited
408-0122174-0964317,Amazon,Expedited
171-4927324-1152312,Amazon,Expedited
171-1044102-4940331,Amazon,Expedited
403-5041572-6122726,Amazon,Expedited
402-3348716-6804357,Amazon,Expedited
171-2175566-8372342,Amazon,Expedited
407-6393615-7796346,Amazon,Expedited
402-4075553-4507517,Amazon,Expedited
171-1044127-1467537,Amazon,Expedited
403-6611746-1282740,Amazon,Expedited
403-9632855-5541919,Merchant,Standard
402-8877208-9972362,Amazon,Expedited
402-8877208-9972362,Amazon,Expedited
407-3432823-7584367,Amazon,Expedited
402-7260197-2081931,Amazon,Expedited
404-5234838-6633119,Amazon,Expedited
403-9559970-4766705,Amazon,Expedited
407-6122000-3730745,Merchant,Standard
171-8451062-4752326,Amazon,Expedited
406-1045299-5253935,Amazon,Expedited
171-9399405-5882717,Merchant,Standard
408-3186160-5809138,Amazon,Expedited
402-3522843-5807532,Amazon,Expedited
408-2100329-5574743,Merchant,Standard
402-5886414-4634760,Amazon,Expedited
171-1883947-4978719,Amazon,Expedited
407-3805157-5497936,Amazon,Expedited
407-2954328-9057925,Amazon,Expedited
406-6968271-6138744,Amazon,Expedited
408-7416639-7336362,Amazon,Standard
406-5402864-8206726,Amazon,Expedited
402-3638227-2604358,Amazon,Expedited
171-6158499-3489968,Amazon,Expedited
405-7764987-8273913,Merchant,Standard
407-3606312-2370741,Amazon,Expedited
404-4663992-9069152,Amazon,Expedited
403-0802771-4781900,Amazon,Expedited
405-9153899-6361938,Merchant,Standard
171-0006482-2020369,Merchant,Standard
403-6265270-2449952,Amazon,Expedited
407-8215291-1809169,Amazon,Expedited
408-8687080-8349954,Amazon,Expedited
171-0419597-6463550,Amazon,Expedited
406-2932330-3321959,Amazon,Expedited
407-8039203-5735504,Amazon,Expedited
403-1727324-3527525,Amazon,Expedited
404-0566904-4825137,Amazon,Expedited
404-0566904-4825137,Amazon,Expedited
407-4731812-0569938,Amazon,Expedited
406-3754350-1921152,Amazon,Expedited
402-3349161-5685163,Amazon,Expedited
406-8311747-1761122,Amazon,Expedited
406-8311747-1761122,Amazon,Expedited
403-5754463-8115536,Merchant,Standard
171-0507987-9169958,Amazon,Expedited
407-2296767-2362704,Merchant,Standard
407-7616127-7811558,Merchant,Standard
406-8985324-3832360,Amazon,Expedited
408-5610675-3253169,Amazon,Expedited
408-3787326-0340363,Merchant,Standard
402-7084917-5921944,Amazon,Expedited
171-3236297-4706714,Amazon,Expedited
405-8285160-0214747,Amazon,Expedited
171-5779109-0905928,Amazon,Expedited
404-9908917-6100303,Amazon,Expedited
403-5316845-2464355,Amazon,Expedited
171-9339107-1384320,Amazon,Expedited
403-2000337-2867531,Amazon,Expedited
408-0812844-7818700,Amazon,Expedited
405-1228188-5297938,Merchant,Standard
403-4613170-0301124,Merchant,Standard
408-7670329-4101905,Amazon,Expedited
407-6547633-6630756,Merchant,Standard
404-4264985-1077926,Merchant,Standard
403-4811184-0352310,Amazon,Expedited
407-5235526-1156364,Amazon,Expedited
171-7790064-8858769,Amazon,Expedited
407-5345803-9442754,Amazon,Expedited
405-6818033-1991535,Amazon,Expedited
405-1634643-8548362,Amazon,Expedited
402-7259648-3589130,Amazon,Expedited
403-5512860-6474709,Amazon,Expedited
405-6895105-7613137,Merchant,Standard
408-1934381-2130729,Amazon,Standard
407-1902120-0283541,Amazon,Expedited
407-5211445-5675517,Amazon,Expedited
405-1067372-8959545,Amazon,Expedited
408-6691828-6678718,Amazon,Expedited
404-1999660-0618712,Amazon,Expedited
402-8349092-6394739,Amazon,Expedited
403-0061579-9272319,Merchant,Standard
405-9935541-7117167,Amazon,Expedited
407-7282648-6869936,Amazon,Expedited
407-4176572-5277916,Amazon,Expedited
407-4176572-5277916,Amazon,Expedited
407-4176572-5277916,Amazon,Expedited
404-1035134-0857126,Amazon,Expedited
403-5947655-7277166,Merchant,Standard
171-4011986-9891506,Amazon,Expedited
408-2553476-6332307,Amazon,Standard
171-7872471-1810740,Merchant,Standard
407-8589731-5668353,Amazon,Expedited
408-0002979-1571575,Amazon,Expedited
405-0152945-9281141,Amazon,Expedited
406-0697593-2068306,Amazon,Expedited
403-5895665-4925103,Amazon,Expedited
403-3361011-2239566,Amazon,Expedited
171-6613656-4245918,Merchant,Standard
171-4052596-9782704,Amazon,Expedited
403-9078967-3981110,Amazon,Expedited
402-3929605-6878702,Amazon,Expedited
405-0043813-7485114,Amazon,Expedited
402-9278224-1406767,Amazon,Expedited
402-7165661-7521950,Merchant,Standard
407-5702404-1237153,Amazon,Expedited
402-2178983-9666728,Amazon,Expedited
408-1262593-3468327,Amazon,Expedited
407-7973575-0154729,Merchant,Standard
408-8747074-3173921,Merchant,Standard
405-3238457-8916365,Amazon,Expedited
405-4044672-8392353,Amazon,Expedited
402-7194188-9157908,Amazon,Expedited
407-7003976-1631535,Amazon,Expedited
407-5425288-7554717,Amazon,Expedited
171-7059341-6105923,Merchant,Standard
405-3223184-3071523,Amazon,Expedited
406-1415992-3059531,Amazon,Expedited
406-1334469-6185165,Amazon,Expedited
408-4533890-9124319,Amazon,Standard
406-4796865-4449149,Amazon,Expedited
407-6742558-5561911,Amazon,Expedited
405-5920313-7117140,Merchant,Standard
402-1836552-8085957,Merchant,Standard
404-8438791-6591543,Amazon,Expedited
171-1570173-8349100,Amazon,Expedited
402-0704464-1297103,Amazon,Expedited
402-7189994-3784320,Amazon,Expedited
403-7867771-2108310,Amazon,Expedited
408-9091347-4153133,Amazon,Expedited
406-4850135-8030762,Amazon,Expedited
408-1079404-9805951,Amazon,Expedited
405-7157063-8813941,Amazon,Expedited
408-7814857-4169143,Amazon,Standard
405-7737113-0917101,Amazon,Expedited
408-7304860-0333966,Amazon,Expedited
402-3686381-1031564,Amazon,Expedited
405-8333526-2323538,Amazon,Expedited
405-7734086-8665151,Amazon,Expedited
406-8149939-2130752,Amazon,Expedited
405-7559599-6046747,Amazon,Expedited
408-0075632-0706754,Amazon,Expedited
402-8184850-5327561,Amazon,Expedited
404-7345899-9122769,Amazon,Expedited
404-1779944-8102705,Merchant,Standard
404-1779944-8102705,Merchant,Standard
404-1779944-8102705,Merchant,Standard
404-2445799-8153131,Merchant,Standard
405-6294317-9120310,Amazon,Expedited
405-6294317-9120310,Amazon,Expedited
404-5140273-8933937,Amazon,Expedited
403-5047171-5946703,Amazon,Expedited
403-5047171-5946703,Amazon,Expedited
408-9810936-9735516,Amazon,Expedited
171-9673855-2321133,Amazon,Expedited
171-9673855-2321133,Amazon,Expedited
404-0333009-4637953,Amazon,Expedited
402-2809102-1025143,Amazon,Expedited
407-8278311-0556310,Amazon,Expedited
403-3174804-7240347,Merchant,Standard
408-5229747-9249144,Merchant,Standard
405-5685412-1543569,Amazon,Expedited
402-3947445-0289100,Amazon,Expedited
402-8796273-3245106,Amazon,Expedited
171-1909591-0944310,Merchant,Standard
407-2234401-7446716,Amazon,Expedited
407-2234401-7446716,Amazon,Expedited
171-9309960-1917956,Amazon,Expedited
171-9309960-1917956,Amazon,Expedited
406-4327460-9905137,Amazon,Expedited
406-4643064-2945138,Amazon,Expedited
403-8755155-3715542,Amazon,Expedited
171-8195821-2769955,Amazon,Expedited
408-0944592-0213947,Amazon,Expedited
402-1249621-8158717,Amazon,Expedited
171-3690652-9264323,Amazon,Expedited
407-5465680-5166728,Amazon,Expedited
404-3277432-6723553,Amazon,Expedited
403-9918500-6651534,Amazon,Expedited
405-5634704-9072316,Amazon,Expedited
406-4595057-9725933,Amazon,Expedited
408-8282046-8035528,Amazon,Expedited
402-3672454-0738756,Amazon,Expedited
405-1547266-2754769,Amazon,Expedited
404-5169046-5093164,Amazon,Expedited
171-5975931-2581955,Merchant,Standard
171-6071448-5965141,Merchant,Standard
407-0518920-8029111,Amazon,Expedited
407-0518920-8029111,Amazon,Expedited
407-0518920-8029111,Amazon,Expedited
402-4898958-1219567,Amazon,Expedited
408-8271781-7285964,Amazon,Expedited
403-4865362-5981957,Amazon,Expedited
408-2942223-3018726,Amazon,Standard
405-8812813-0604360,Amazon,Expedited
405-8891626-4254728,Amazon,Expedited
405-8891626-4254728,Amazon,Expedited
171-7181417-4211520,Amazon,Expedited
404-7073303-1911528,Merchant,Standard
405-9044361-2693132,Amazon,Expedited
404-8913256-9996304,Amazon,Expedited
403-5262500-3905110,Amazon,Expedited
406-2488091-1490762,Merchant,Standard
408-9088841-2336336,Amazon,Expedited
408-4582558-7314760,Merchant,Standard
408-7902994-4630703,Amazon,Expedited
405-3079406-2484328,Amazon,Expedited
171-5782777-6979568,Merchant,Standard
408-2677298-4497110,Merchant,Standard
408-5929608-8114749,Amazon,Expedited
408-5929608-8114749,Amazon,Expedited
406-4773034-6173106,Amazon,Expedited
402-4383938-3924329,Merchant,Standard
171-2895312-3045162,Amazon,Expedited
171-5145614-1809948,Amazon,Expedited
171-2287457-6688311,Merchant,Standard
171-2287457-6688311,Merchant,Standard
405-7218180-8784303,Amazon,Expedited
405-3600583-8508316,Amazon,Expedited
406-3174458-1341148,Merchant,Standard
408-2819038-6637164,Amazon,Expedited
402-8614826-9830738,Amazon,Expedited
402-0691535-3235515,Merchant,Standard
408-9667808-6138726,Amazon,Expedited
406-2782901-2134745,Amazon,Expedited
408-1012679-9856354,Amazon,Expedited
408-9269845-8583549,Amazon,Expedited
408-1137865-1593106,Merchant,Standard
407-5350572-1287552,Amazon,Expedited
403-7526182-0404333,Amazon,Expedited
403-6401336-8201965,Merchant,Standard
171-2787742-6252306,Amazon,Expedited
402-7384268-1077145,Amazon,Expedited
404-4035809-0061935,Amazon,Expedited
404-6493888-0475518,Amazon,Expedited
408-8882842-2109960,Amazon,Expedited
408-8815736-2010734,Amazon,Expedited
407-2998129-4973933,Merchant,Standard
408-3335768-8773961,Amazon,Expedited
405-1592937-9701130,Amazon,Expedited
407-8539077-3464304,Amazon,Expedited
403-7590550-2731553,Amazon,Expedited
404-4000695-0797162,Merchant,Standard
407-9408556-2909910,Amazon,Expedited
403-0595338-3116363,Amazon,Expedited
407-0597022-0095504,Amazon,Standard
402-1291498-0963502,Merchant,Standard
404-8755705-2719549,Amazon,Expedited
408-4005531-2549115,Amazon,Expedited
405-9426035-5129953,Amazon,Expedited
405-9426035-5129953,Amazon,Expedited
402-0276894-0302746,Amazon,Expedited
403-5086816-7338754,Amazon,Expedited
402-3620495-6261944,Amazon,Expedited
404-4469398-1664305,Amazon,Expedited
406-5835066-8509123,Merchant,Standard
405-6611111-6269911,Amazon,Expedited
402-7861807-8550726,Merchant,Standard
171-4778281-4439504,Amazon,Expedited
406-6823620-0893112,Merchant,Standard
406-2917556-7266717,Merchant,Standard
403-0858210-1453101,Merchant,Standard
405-1694368-6091503,Amazon,Expedited
403-8220348-0238745,Amazon,Expedited
402-3863219-8760306,Amazon,Expedited
405-3156658-8311508,Amazon,Expedited
407-6192870-8293127,Amazon,Expedited
405-6658323-9641119,Amazon,Expedited
402-2180559-5076353,Merchant,Standard
404-8280424-0969955,Amazon,Expedited
406-7301115-8916352,Amazon,Expedited
403-9604247-6275552,Amazon,Expedited
402-2770632-8141143,Amazon,Expedited
405-7829062-0073141,Merchant,Standard
404-9790140-0919506,Amazon,Expedited
404-9790140-0919506,Amazon,Expedited
404-9235384-4336353,Merchant,Standard
407-1956473-1145145,Amazon,Expedited
407-3760174-3873153,Amazon,Expedited
171-0612922-6377104,Amazon,Expedited
402-4817613-9294755,Amazon,Expedited
406-9551449-0285151,Merchant,Standard
402-8297736-0672305,Amazon,Expedited
408-2453599-7697145,Amazon,Expedited
408-5213768-6029950,Amazon,Expedited
408-6659116-0906718,Merchant,Standard
408-1988392-9252313,Merchant,Standard
407-0994282-1109911,Amazon,Expedited
407-0587492-6776324,Amazon,Expedited
404-3632880-9304305,Amazon,Expedited
407-7393617-5480330,Amazon,Expedited
407-8461738-2228314,Amazon,Expedited
408-4185500-2329134,Merchant,Standard
171-4502176-0991515,Merchant,Standard
404-0808906-2389905,Amazon,Expedited
406-2887147-6410739,Merchant,Standard
171-3687103-6153167,Amazon,Expedited
405-2834129-5029105,Amazon,Expedited
405-4580146-5622759,Merchant,Standard
406-7680753-4797147,Amazon,Expedited
171-1963311-9446720,Merchant,Standard
171-1459952-0132331,Amazon,Expedited
171-4977179-4269108,Amazon,Expedited
171-5984560-0937925,Amazon,Expedited
405-7792943-1373155,Amazon,Expedited
408-5687276-3227521,Merchant,Standard
407-4438981-1990722,Amazon,Expedited
406-9483947-6293906,Amazon,Expedited
407-7497681-0210766,Amazon,Expedited
402-1012538-2861105,Amazon,Expedited
171-2787536-3745169,Amazon,Expedited
403-8593239-6324353,Amazon,Expedited
408-5317065-2842709,Merchant,Standard
405-3840031-0416361,Amazon,Expedited
408-5740056-2632317,Amazon,Expedited
407-6209478-4940350,Amazon,Expedited
403-6895413-5606751,Amazon,Expedited
408-6003340-0632330,Merchant,Standard
408-8404034-6727569,Merchant,Standard
405-3785775-0227556,Amazon,Expedited
405-2756529-8689123,Amazon,Expedited
407-6965720-0843551,Merchant,Standard
404-8525115-3493163,Merchant,Standard
404-3370292-0401110,Amazon,Expedited
